Ri,Zj,Rhoij
7.419355,-17.460317,0.000000
7.419355,-16.825397,0.000000
7.419355,-16.190476,0.000000
7.419355,-15.555556,0.000000
7.419355,-14.920635,0.000000
7.419355,-14.285714,0.000000
7.419355,-13.650794,0.000000
7.419355,-13.015873,0.000000
7.419355,-12.380952,0.000001
7.419355,-11.746032,0.000003
7.419355,-11.111111,0.000007
7.419355,-10.476190,0.000013
7.419355,-9.841270,0.000023
7.419355,-9.206349,0.000045
7.419355,-8.571429,0.000096
7.419355,-7.936508,0.000228
7.419355,-7.301587,0.000564
7.419355,-6.666667,0.001343
7.419355,-6.031746,0.002890
7.419355,-5.396825,0.005505
7.419355,-4.761905,0.009309
7.419355,-4.126984,0.014179
7.419355,-3.492063,0.019758
7.419355,-2.857143,0.025520
7.419355,-2.222222,0.030862
7.419355,-1.587302,0.035224
7.419355,-0.952381,0.038144
7.419355,-0.317460,0.039271
7.419355,0.317460,0.038439
7.419355,0.952381,0.035786
7.419355,1.587302,0.031726
7.419355,2.222222,0.026773
7.419355,2.857143,0.021418
7.419355,3.492063,0.016125
7.419355,4.126984,0.011326
7.419355,4.761905,0.007343
7.419355,5.396825,0.004339
7.419355,6.031746,0.002309
7.419355,6.666667,0.001106
7.419355,7.301587,0.000488
7.419355,7.936508,0.000210
7.419355,8.571429,0.000094
7.419355,9.206349,0.000046
7.419355,9.841270,0.000025
7.419355,10.476190,0.000014
7.419355,11.111111,0.000007
7.419355,11.746032,0.000003
7.419355,12.380952,0.000001
7.419355,13.015873,0.000000
7.419355,13.650794,0.000000
7.419355,14.285714,0.000000
7.419355,14.920635,0.000000
7.419355,15.555556,0.000000
7.419355,16.190476,0.000000
7.419355,16.825397,0.000000
7.419355,17.460317,0.000000
7.419355,18.095238,0.000000
7.419355,18.730159,0.000000
7.419355,19.365079,0.000000
7.419355,20.000000,0.000000
8.064516,-20.000000,0.000000
8.064516,-19.365079,0.000000
8.064516,-18.730159,0.000000
8.064516,-18.095238,0.000000
8.064516,-17.460317,0.000000
8.064516,-16.825397,0.000000
8.064516,-16.190476,0.000000
8.064516,-15.555556,0.000000
8.064516,-14.920635,0.000000
8.064516,-14.285714,0.000000
8.064516,-13.650794,0.000000
8.064516,-13.015873,0.000000
8.064516,-12.380952,0.000000
8.064516,-11.746032,0.000001
8.064516,-11.111111,0.000002
8.064516,-10.476190,0.000004
8.064516,-9.841270,0.000008
8.064516,-9.206349,0.000015
8.064516,-8.571429,0.000032
8.064516,-7.936508,0.000070
8.064516,-7.301587,0.000161
8.064516,-6.666667,0.000368
8.064516,-6.031746,0.000782
8.064516,-5.396825,0.001513
8.064516,-4.761905,0.002648
8.064516,-4.126984,0.004221
8.064516,-3.492063,0.006179
8.064516,-2.857143,0.008368
8.064516,-2.222222,0.010545
8.064516,-1.587302,0.012430
8.064516,-0.952381,0.013747
8.064516,-0.317460,0.014274
8.064516,0.317460,0.013906
8.064516,0.952381,0.012719
8.064516,1.587302,0.010946
8.064516,2.222222,0.008876
8.064516,2.857143,0.006772
8.064516,3.492063,0.004843
8.064516,4.126984,0.003231
8.064516,4.761905,0.002002
8.064516,5.396825,0.001146
8.064516,6.031746,0.000604
8.064516,6.666667,0.000294
8.064516,7.301587,0.000137
8.064516,7.936508,0.000063
8.064516,8.571429,0.000030
8.064516,9.206349,0.000015
8.064516,9.841270,0.000008
8.064516,10.476190,0.000004
8.064516,11.111111,0.000002
8.064516,11.746032,0.000001
8.064516,12.380952,0.000000
8.064516,13.015873,0.000000
8.064516,13.650794,0.000000
8.064516,14.285714,0.000000
8.064516,14.920635,0.000000
8.064516,15.555556,0.000000
8.064516,16.190476,0.000000
8.064516,16.825397,0.000000
8.064516,17.460317,0.000000
8.064516,18.095238,0.000000
8.064516,18.730159,0.000000
8.064516,19.365079,0.000000
8.064516,20.000000,0.000000
8.709677,-20.000000,0.000000
8.709677,-19.365079,0.000000
8.709677,-18.730159,0.000000
8.709677,-18.095238,0.000000
8.709677,-17.460317,0.000000
8.709677,-16.825397,0.000000
8.709677,-16.190476,0.000000
8.709677,-15.555556,0.000000
8.709677,-14.920635,0.000000
8.709677,-14.285714,0.000000
8.709677,-13.650794,0.000000
8.709677,-13.015873,0.000000
8.709677,-12.380952,0.000000
8.709677,-11.746032,0.000000
8.709677,-11.111111,0.000000
8.709677,-10.476190,0.000001
8.709677,-9.841270,0.000002
8.709677,-9.206349,0.000004
8.709677,-8.571429,0.000008
8.709677,-7.936508,0.000017
8.709677,-7.301587,0.000038
8.709677,-6.666667,0.000083
8.709677,-6.031746,0.000172
8.709677,-5.396825,0.000334
8.709677,-4.761905,0.000597
8.709677,-4.126984,0.000983
8.709677,-3.492063,0.001493
8.709677,-2.857143,0.002098
8.709677,-2.222222,0.002730
8.709677,-1.587302,0.003302
8.709677,-0.952381,0.003713
8.709677,-0.317460,0.003883
8.709677,0.317460,0.003772
8.709677,0.952381,0.003406
8.709677,1.587302,0.002867
8.709677,2.222222,0.002254
8.709677,2.857143,0.001658
8.709677,3.492063,0.001140
8.709677,4.126984,0.000732
8.709677,4.761905,0.000440
8.709677,5.396825,0.000248
8.709677,6.031746,0.000131
8.709677,6.666667,0.000066
8.709677,7.301587,0.000032
8.709677,7.936508,0.000015
8.709677,8.571429,0.000008
8.709677,9.206349,0.000004
8.709677,9.841270,0.000002
8.709677,10.476190,0.000001
8.709677,11.111111,0.000000
8.709677,11.746032,0.000000
8.709677,12.380952,0.000000
8.709677,13.015873,0.000000
8.709677,13.650794,0.000000
8.709677,14.285714,0.000000
8.709677,14.920635,0.000000
8.709677,15.555556,0.000000
8.709677,16.190476,0.000000
8.709677,16.825397,0.000000
8.709677,17.460317,0.000000
8.709677,18.095238,0.000000
8.709677,18.730159,0.000000
8.709677,19.365079,0.000000
8.709677,20.000000,0.000000
9.354839,-20.000000,0.000000
9.354839,-19.365079,0.000000
9.354839,-18.730159,0.000000
9.354839,-18.095238,0.000000
9.354839,-17.460317,0.000000
9.354839,-16.825397,0.000000
9.354839,-16.190476,0.000000
9.354839,-15.555556,0.000000
9.354839,-14.920635,0.000000
9.354839,-14.285714,0.000000
9.354839,-13.650794,0.000000
9.354839,-13.015873,0.000000
9.354839,-12.380952,0.000000
9.354839,-11.746032,0.000000
9.354839,-11.111111,0.000000
9.354839,-10.476190,0.000000
9.354839,-9.841270,0.000000
9.354839,-9.206349,0.000001
9.354839,-8.571429,0.000002
9.354839,-7.936508,0.000003
9.354839,-7.301587,0.000007
9.354839,-6.666667,0.000015
9.354839,-6.031746,0.000031
9.354839,-5.396825,0.000060
9.354839,-4.761905,0.000108
9.354839,-4.126984,0.000181
9.354839,-3.492063,0.000283
9.354839,-2.857143,0.000408
9.354839,-2.222222,0.000544
9.354839,-1.587302,0.000671
9.354839,-0.952381,0.000765
9.354839,-0.317460,0.000804
9.354839,0.317460,0.000780
9.354839,0.952381,0.000699
9.354839,1.587302,0.000580
9.354839,2.222222,0.000446
9.354839,2.857143,0.000320
9.354839,3.492063,0.000214
9.354839,4.126984,0.000134
9.354839,4.761905,0.000079
9.354839,5.396825,0.000044
9.354839,6.031746,0.000023
9.354839,6.666667,0.000012
9.354839,7.301587,0.000006
9.354839,7.936508,0.000003
9.354839,8.571429,0.000001
9.354839,9.206349,0.000001
9.354839,9.841270,0.000000
9.354839,10.476190,0.000000
9.354839,11.111111,0.000000
9.354839,11.746032,0.000000
9.354839,12.380952,0.000000
9.354839,13.015873,0.000000
9.354839,13.650794,0.000000
9.354839,14.285714,0.000000
9.354839,14.920635,0.000000
9.354839,15.555556,0.000000
9.354839,16.190476,0.000000
9.354839,16.825397,0.000000
9.354839,17.460317,0.000000
9.354839,18.095238,0.000000
9.354839,18.730159,0.000000
9.354839,19.365079,0.000000
9.354839,20.000000,0.000000
10.000000,-20.000000,0.000000
10.000000,-19.365079,0.000000
10.000000,-18.730159,0.000000
10.000000,-18.095238,0.000000
10.000000,-17.460317,0.000000
10.000000,-16.825397,0.000000
10.000000,-16.190476,0.000000
10.000000,-15.555556,0.000000
10.000000,-14.920635,0.000000
10.000000,-14.285714,0.000000
10.000000,-13.650794,0.000000
10.000000,-13.015873,0.000000
10.000000,-12.380952,0.000000
10.000000,-11.746032,0.000000
10.000000,-11.111111,0.000000
10.000000,-10.476190,0.000000
10.000000,-9.841270,0.000000
10.000000,-9.206349,0.000000
10.000000,-8.571429,0.000000
10.000000,-7.936508,0.000000
10.000000,-7.301587,0.000001
10.000000,-6.666667,0.000002
10.000000,-6.031746,0.000004
10.000000,-5.396825,0.000009
10.000000,-4.761905,0.000016
10.000000,-4.126984,0.000027
10.000000,-3.492063,0.000042
10.000000,-2.857143,0.000062
10.000000,-2.222222,0.000085
10.000000,-1.587302,0.000106
10.000000,-0.952381,0.000122
10.000000,-0.317460,0.000129
10.000000,0.317460,0.000125
10.000000,0.952381,0.000111
10.000000,1.587302,0.000092
10.000000,2.222222,0.000070
10.000000,2.857143,0.000049
10.000000,3.492063,0.000032
10.000000,4.126984,0.000020
10.000000,4.761905,0.000012
10.000000,5.396825,0.000006
10.000000,6.031746,0.000003
10.000000,6.666667,0.000002
10.000000,7.301587,0.000001
10.000000,7.936508,0.000000
10.000000,8.571429,0.000000
10.000000,9.206349,0.000000
10.000000,9.841270,0.000000
10.000000,10.476190,0.000000
10.000000,11.111111,0.000000
10.000000,11.746032,0.000000
10.000000,12.380952,0.000000
10.000000,13.015873,0.000000
10.000000,13.650794,0.000000
10.000000,14.285714,0.000000
10.000000,14.920635,0.000000
10.000000,15.555556,0.000000
10.000000,16.190476,0.000000
10.000000,16.825397,0.000000
10.000000,17.460317,0.000000
10.000000,18.095238,0.000000
10.000000,18.730159,0.000000
10.000000,19.365079,0.000000
10.000000,20.000000,0.000000
